store_code,item,stock_actual
BOS_2,SUPERMARKET_3_681,61
BOS_2,SUPERMARKET_3_694,97
BOS_2,SUPERMARKET_3_714,133
BOS_2,SUPERMARKET_3_723,42
BOS_2,SUPERMARKET_3_739,24
BOS_2,SUPERMARKET_3_804,27
BOS_2,SUPERMARKET_3_811,27
BOS_3,HOME_&_GARDEN_1_110,71
BOS_3,HOME_&_GARDEN_1_334,39
BOS_3,HOME_&_GARDEN_1_459,3
BOS_3,SUPERMARKET_2_360,65
BOS_3,SUPERMARKET_3_080,42
BOS_3,SUPERMARKET_3_090,198
BOS_3,SUPERMARKET_3_099,28
BOS_3,SUPERMARKET_3_120,28
BOS_3,SUPERMARKET_3_202,30
BOS_3,SUPERMARKET_3_226,40
BOS_3,SUPERMARKET_3_252,86
BOS_3,SUPERMARKET_3_282,16
BOS_3,SUPERMARKET_3_288,24
BOS_3,SUPERMARKET_3_318,10
BOS_3,SUPERMARKET_3_329,5
BOS_3,SUPERMARKET_3_362,11
BOS_3,SUPERMARKET_3_377,115
BOS_3,SUPERMARKET_3_389,58
BOS_3,SUPERMARKET_3_458,40
BOS_3,SUPERMARKET_3_499,45
BOS_3,SUPERMARKET_3_555,164
BOS_3,SUPERMARKET_3_586,229
BOS_3,SUPERMARKET_3_587,81
BOS_3,SUPERMARKET_3_681,16
BOS_3,SUPERMARKET_3_694,24
BOS_3,SUPERMARKET_3_714,27
BOS_3,SUPERMARKET_3_723,66
BOS_3,SUPERMARKET_3_739,9
BOS_3,SUPERMARKET_3_804,20
BOS_3,SUPERMARKET_3_811,69
NYC_1,HOME_&_GARDEN_1_110,11
NYC_1,HOME_&_GARDEN_1_334,41
NYC_1,HOME_&_GARDEN_1_459,6
NYC_1,SUPERMARKET_2_360,18
NYC_1,SUPERMARKET_3_080,52
NYC_1,SUPERMARKET_3_090,183
NYC_1,SUPERMARKET_3_099,36
NYC_1,SUPERMARKET_3_120,33
NYC_1,SUPERMARKET_3_202,20
NYC_1,SUPERMARKET_3_226,34
NYC_1,SUPERMARKET_3_252,248
NYC_1,SUPERMARKET_3_282,85
NYC_1,SUPERMARKET_3_288,32
NYC_1,SUPERMARKET_3_318,23
NYC_1,SUPERMARKET_3_329,44
NYC_1,SUPERMARKET_3_362,55
NYC_1,SUPERMARKET_3_377,28
NYC_1,SUPERMARKET_3_389,17
NYC_1,SUPERMARKET_3_458,7
NYC_1,SUPERMARKET_3_499,66
NYC_1,SUPERMARKET_3_555,70
NYC_1,SUPERMARKET_3_586,92
NYC_1,SUPERMARKET_3_587,44
NYC_1,SUPERMARKET_3_681,69
NYC_1,SUPERMARKET_3_694,20
NYC_1,SUPERMARKET_3_714,100
NYC_1,SUPERMARKET_3_723,45
NYC_1,SUPERMARKET_3_739,55
NYC_1,SUPERMARKET_3_804,4
NYC_1,SUPERMARKET_3_811,56
NYC_2,HOME_&_GARDEN_1_110,27
NYC_2,HOME_&_GARDEN_1_334,33
NYC_2,HOME_&_GARDEN_1_459,10
NYC_2,SUPERMARKET_2_360,16
NYC_2,SUPERMARKET_3_080,18
NYC_2,SUPERMARKET_3_090,135
NYC_2,SUPERMARKET_3_099,20
NYC_2,SUPERMARKET_3_120,22
NYC_2,SUPERMARKET_3_202,20
NYC_2,SUPERMARKET_3_226,21
NYC_2,SUPERMARKET_3_252,71
NYC_2,SUPERMARKET_3_282,99
NYC_2,SUPERMARKET_3_288,138
NYC_2,SUPERMARKET_3_318,19
NYC_2,SUPERMARKET_3_329,60
NYC_2,SUPERMARKET_3_362,8
NYC_2,SUPERMARKET_3_377,29
NYC_2,SUPERMARKET_3_389,39
NYC_2,SUPERMARKET_3_458,49
NYC_2,SUPERMARKET_3_499,8
NYC_2,SUPERMARKET_3_555,97
NYC_2,SUPERMARKET_3_586,155
NYC_2,SUPERMARKET_3_587,86
NYC_2,SUPERMARKET_3_681,49
NYC_2,SUPERMARKET_3_694,31
NYC_2,SUPERMARKET_3_714,45
NYC_2,SUPERMARKET_3_723,33
NYC_2,SUPERMARKET_3_739,104
NYC_2,SUPERMARKET_3_804,65
NYC_2,SUPERMARKET_3_811,6
NYC_3,HOME_&_GARDEN_1_110,112
NYC_3,HOME_&_GARDEN_1_334,161
NYC_3,HOME_&_GARDEN_1_459,52
NYC_3,SUPERMARKET_2_360,61
NYC_3,SUPERMARKET_3_080,25
NYC_3,SUPERMARKET_3_090,598
NYC_3,SUPERMARKET_3_099,29
NYC_3,SUPERMARKET_3_120,322
NYC_3,SUPERMARKET_3_202,151
NYC_3,SUPERMARKET_3_226,46
NYC_3,SUPERMARKET_3_252,89
NYC_3,SUPERMARKET_3_282,210
NYC_3,SUPERMARKET_3_288,74
NYC_3,SUPERMARKET_3_318,18
NYC_3,SUPERMARKET_3_329,118
NYC_3,SUPERMARKET_3_362,76
NYC_3,SUPERMARKET_3_377,95
NYC_3,SUPERMARKET_3_389,125
NYC_3,SUPERMARKET_3_458,56
NYC_3,SUPERMARKET_3_499,174
NYC_3,SUPERMARKET_3_555,97
NYC_3,SUPERMARKET_3_586,341
NYC_3,SUPERMARKET_3_587,97
NYC_3,SUPERMARKET_3_681,218
NYC_3,SUPERMARKET_3_694,45
NYC_3,SUPERMARKET_3_714,39
NYC_3,SUPERMARKET_3_723,74
NYC_3,SUPERMARKET_3_739,166
NYC_3,SUPERMARKET_3_804,55
NYC_3,SUPERMARKET_3_811,56
NYC_4,HOME_&_GARDEN_1_110,25
NYC_4,HOME_&_GARDEN_1_334,6
NYC_4,HOME_&_GARDEN_1_459,3
NYC_4,SUPERMARKET_2_360,6
NYC_4,SUPERMARKET_3_080,37
NYC_4,SUPERMARKET_3_090,100
NYC_4,SUPERMARKET_3_099,22
NYC_4,SUPERMARKET_3_120,3
NYC_4,SUPERMARKET_3_202,65
NYC_4,SUPERMARKET_3_226,7
NYC_4,SUPERMARKET_3_252,104
NYC_4,SUPERMARKET_3_282,9
NYC_4,SUPERMARKET_3_288,11
NYC_4,SUPERMARKET_3_318,30
NYC_4,SUPERMARKET_3_329,4
NYC_4,SUPERMARKET_3_362,4
NYC_4,SUPERMARKET_3_377,15
NYC_4,SUPERMARKET_3_389,13
NYC_4,SUPERMARKET_3_458,17
NYC_4,SUPERMARKET_3_499,11
NYC_4,SUPERMARKET_3_555,37
NYC_4,SUPERMARKET_3_586,126
NYC_4,SUPERMARKET_3_587,57
NYC_4,SUPERMARKET_3_681,6
NYC_4,SUPERMARKET_3_694,5
NYC_4,SUPERMARKET_3_714,15
NYC_4,SUPERMARKET_3_723,10
NYC_4,SUPERMARKET_3_739,31
NYC_4,SUPERMARKET_3_804,4
NYC_4,SUPERMARKET_3_811,5
PHI_1,HOME_&_GARDEN_1_110,25
PHI_1,HOME_&_GARDEN_1_334,25
PHI_1,HOME_&_GARDEN_1_459,13
PHI_1,SUPERMARKET_2_360,81
PHI_1,SUPERMARKET_3_080,83
PHI_1,SUPERMARKET_3_090,101
PHI_1,SUPERMARKET_3_099,16
PHI_1,SUPERMARKET_3_120,14
PHI_1,SUPERMARKET_3_202,78
PHI_1,SUPERMARKET_3_226,164
PHI_1,SUPERMARKET_3_252,27
PHI_1,SUPERMARKET_3_282,55
PHI_1,SUPERMARKET_3_288,45
PHI_1,SUPERMARKET_3_318,73
PHI_1,SUPERMARKET_3_329,14
PHI_1,SUPERMARKET_3_362,51
PHI_1,SUPERMARKET_3_377,5
PHI_1,SUPERMARKET_3_389,10
PHI_1,SUPERMARKET_3_458,19
PHI_1,SUPERMARKET_3_499,10
PHI_1,SUPERMARKET_3_555,20
PHI_1,SUPERMARKET_3_586,65
PHI_1,SUPERMARKET_3_587,91
PHI_1,SUPERMARKET_3_681,7
PHI_1,SUPERMARKET_3_694,173
PHI_1,SUPERMARKET_3_714,133
PHI_1,SUPERMARKET_3_723,33
PHI_1,SUPERMARKET_3_739,34
PHI_1,SUPERMARKET_3_804,6
PHI_1,SUPERMARKET_3_811,3
PHI_2,HOME_&_GARDEN_1_110,162
PHI_2,HOME_&_GARDEN_1_334,158
PHI_2,HOME_&_GARDEN_1_459,89
PHI_2,SUPERMARKET_2_360,168
PHI_2,SUPERMARKET_3_080,28
PHI_2,SUPERMARKET_3_090,133
PHI_2,SUPERMARKET_3_099,58
PHI_2,SUPERMARKET_3_120,58
PHI_2,SUPERMARKET_3_202,27
PHI_2,SUPERMARKET_3_226,168
PHI_2,SUPERMARKET_3_252,47
PHI_2,SUPERMARKET_3_282,125
PHI_2,SUPERMARKET_3_288,38
PHI_2,SUPERMARKET_3_318,55
PHI_2,SUPERMARKET_3_329,21
PHI_2,SUPERMARKET_3_362,70
PHI_2,SUPERMARKET_3_377,47
PHI_2,SUPERMARKET_3_389,13
PHI_2,SUPERMARKET_3_458,22
PHI_2,SUPERMARKET_3_499,28
PHI_2,SUPERMARKET_3_555,50
PHI_2,SUPERMARKET_3_586,114
PHI_2,SUPERMARKET_3_587,84
PHI_2,SUPERMARKET_3_681,14
PHI_2,SUPERMARKET_3_694,275
PHI_2,SUPERMARKET_3_714,43
PHI_2,SUPERMARKET_3_723,60
PHI_2,SUPERMARKET_3_739,14
PHI_2,SUPERMARKET_3_804,44
PHI_2,SUPERMARKET_3_811,31
PHI_3,HOME_&_GARDEN_1_110,13
PHI_3,HOME_&_GARDEN_1_334,21
PHI_3,HOME_&_GARDEN_1_459,11
PHI_3,SUPERMARKET_2_360,50
PHI_3,SUPERMARKET_3_080,41
PHI_3,SUPERMARKET_3_090,165
PHI_3,SUPERMARKET_3_099,20
PHI_3,SUPERMARKET_3_120,121
PHI_3,SUPERMARKET_3_202,97
PHI_3,SUPERMARKET_3_226,321
PHI_3,SUPERMARKET_3_252,22
PHI_3,SUPERMARKET_3_282,50
PHI_3,SUPERMARKET_3_288,14
PHI_3,SUPERMARKET_3_318,30
PHI_3,SUPERMARKET_3_329,39
PHI_3,SUPERMARKET_3_362,18
PHI_3,SUPERMARKET_3_377,6
PHI_3,SUPERMARKET_3_389,27
PHI_3,SUPERMARKET_3_458,48
PHI_3,SUPERMARKET_3_499,7
PHI_3,SUPERMARKET_3_555,184
PHI_3,SUPERMARKET_3_586,49
PHI_3,SUPERMARKET_3_587,153
PHI_3,SUPERMARKET_3_681,55
PHI_3,SUPERMARKET_3_694,299
PHI_3,SUPERMARKET_3_714,154
PHI_3,SUPERMARKET_3_723,139
PHI_3,SUPERMARKET_3_739,39
PHI_3,SUPERMARKET_3_804,18
PHI_3,SUPERMARKET_3_811,48
